,y,y_hat,dummy
2017-04-09,155.0,147.14696119888433,215.2831747171844
2017-04-10,127.0,150.67022650352067,215.27235188509874
2017-04-11,176.0,148.38780997991836,215.256506910788
2017-04-12,173.0,146.10218432469236,215.2494615936827
2017-04-13,158.0,151.86789680789374,215.24188049524494
2017-04-14,165.0,164.18432503213893,215.23161105130964
2017-04-15,164.0,155.57953429838975,215.222600896861
2017-04-16,116.0,151.45818376466806,215.21341463414635
2017-04-17,159.0,151.83159374031672,215.19562488793258
2017-04-18,156.0,152.9277389345226,215.18555037647903
2017-04-19,179.0,155.57232343536725,215.1749417458326
2017-04-20,187.0,154.03381173453315,215.168458781362
2017-04-21,192.0,161.35962058209566,215.16341157498655
2017-04-22,140.0,157.07012087999348,215.15926191329274
2017-04-23,155.0,149.65445681042095,215.14579974923876
2017-04-24,158.0,157.95287596905536,215.13502865329514
2017-04-25,179.0,155.29601342166313,215.12479856759177
2017-04-27,174.0,161.25737500921613,215.11833154314357
2017-04-28,176.0,161.28769616988885,215.11097189905138
2017-04-29,140.0,158.30463061869142,215.1039727988547
2017-04-30,129.0,149.76956736783114,215.09053497942386
2017-05-01,181.0,157.1403009687604,215.07513416815743
2017-05-02,153.0,158.77060735201817,215.06903952781255
2017-05-03,163.0,158.11810466730938,215.0579399141631
2017-05-04,187.0,164.08342859717473,215.04863221884497
2017-05-05,158.0,169.66956896535916,215.04361816231676
2017-05-06,175.0,156.70685505171917,215.03342269883825
2017-05-07,141.0,147.17363542498921,215.02626876340244
2017-05-08,171.0,160.7635845984547,215.0130427014472
2017-05-09,169.0,158.78672035169785,215.00518042157913
2017-05-10,159.0,169.5087979127216,214.99696374352564
2017-05-11,174.0,170.59935293052354,214.9869642857143
2017-05-12,212.0,168.15130053637498,214.9796464916979
2017-05-13,157.0,161.08503479711175,214.97911460192788
2017-05-14,148.0,152.53414917002303,214.9687667321078
2017-05-15,198.0,167.64842673397507,214.9568165596003
2017-05-16,172.0,164.4800879924827,214.95379125780553
2017-05-17,187.0,173.6432730987025,214.94612914734213
2017-05-18,181.0,176.13638363170892,214.94114499732478
2017-05-19,192.0,180.76269700813933,214.93509272467904
2017-05-20,159.0,164.4374878652408,214.93100374398287
2017-05-21,154.0,156.5922968098797,214.92103386809268
2017-05-22,183.0,175.45123723318088,214.91017643913742
2017-05-23,166.0,169.0683585814258,214.90449037776193
2017-05-24,206.0,168.1246765479018,214.8957776590059
2017-05-25,172.0,183.32995114013193,214.8941930887068
2017-05-26,180.0,183.80526838121258,214.88655387355297
2017-05-27,171.0,169.86437913328444,214.8803418803419
2017-05-28,131.0,156.59295518374046,214.8725298201887
2017-05-29,148.0,180.80444709333685,214.85760056959774
2017-05-30,189.0,163.2762214250626,214.84570208222104
2017-05-31,158.0,172.77517463212266,214.84110320284697
2017-06-01,186.0,173.11254394132652,214.83099092688133
